Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,308047,122046,163392,193348
Depreciation & amortization,-,216091,253673,275863
Stock based compensation,-,813,2440,1626
Change in working capital,-,-60539,-37311,11904
Inventory,-,9995,1968,-6342
Other working capital,-,225585,223916,241997
Other non-cash items,-,3190,-156094,-56530
Net cash provided by operating activites,-,549322,623676,504373
Investments in property plant and equipment,-,-323737,-399760,-262376
Purchases of investments,-,-352488,-100000,-
Sales/Maturities of investments,-,143985,-,12000
Other investing activites,-,-17869,-78201,-33073
Net cash used for investing activites,-,-544759,-572611,-278099
Net change in cash,-,-126284,-80085,118243
Cash at beginning of period,-,2127689,2207775,2089531
Cash at end of period,-,2001405,2127689,2207775
Operating Cash Flow,-,549322,623676,504373
Capital Expenditure,-,-323737,-399760,-262376
Free Cash Flow,-,225585,223916,241997
