Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,162658,168868,134556,113922,105712
Interest Expense,89108,82020,50138,36519,31903
Income Before Tax,56233,56069,34000,27423,22605
Income Tax Expense,13983,13927,14404,8820,6783
Income from Continuing Operations,42250,42142,19596,18603,15822
Net Income,42250,42142,19596,18603,15822
Net Income available to common shareholders,42250,42142,19596,18603,15822
Basic EPS,-,0.46,0.24,0.22,0.18
Diluted EPS,-,0.46,0.24,0.22,0.18
Basic Average Shares,-,91054,82587,84590,89591
Diluted Average Shares,-,91100,82643,84661,89625
