Breakdown,ttm,3/31/2019
Net Income,15124000,56844000
Depreciation & amortization,-,4270000
Change in working capital,-,-26639000
Other working capital,-,-21654000
Other non-cash items,-,-51173000
Net cash provided by operating activites,-,-17032000
Investments in property plant and equipment,-,-4622000
Purchases of investments,-,-629241000
Sales/Maturities of investments,-,784475000
Net cash used for investing activites,-,150708000
Net change in cash,-,129133000
Cash at beginning of period,-,773856000
Cash at end of period,-,1105851000
Operating Cash Flow,-,-17032000
Capital Expenditure,-,-4622000
Free Cash Flow,-,-21654000
