Breakdown,ttm,5/31/2019,5/31/2018,5/31/2017,5/31/2016
Net Income,281840,412495,393275,379113,355688
Depreciation & amortization,-,26597,22967,23503,22579
Change in working capital,-,289690,-536333,-484905,-235070
Inventory,-,359343,-589176,-479147,-291820
Other working capital,-,683749,-198742,-120628,151505
Other non-cash items,-,66474,-33497,24855,23312
Net cash provided by operating activites,-,762462,-133189,-73153,194814
Investments in property plant and equipment,-,-78713,-65553,-47475,-43309
Purchases of investments,-,-,-30,-30,-30
Other investing activites,-,-3290,-12082,-11646,-20262
Net cash used for investing activites,-,-82003,-77665,-59151,-63117
Net change in cash,-,546552,8739,-91188,-50445
Cash at beginning of period,-,337374,328634,419823,470268
Cash at end of period,-,883926,337374,328634,419823
Operating Cash Flow,-,762462,-133189,-73153,194814
Capital Expenditure,-,-78713,-65553,-47475,-43309
Free Cash Flow,-,683749,-198742,-120628,151505
