Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-2820000,-3434000,1264000,2334000
Depreciation & amortization,-,1592000,1516000,1386000
Change in working capital,-,84000,1794000,-793000
Inventory,-,-3847000,585000,-1333000
Other working capital,-,-2689000,3057000,468000
Other non-cash items,-,748000,-,-130000
Net cash provided by operating activites,-,-758000,4822000,2784000
Investments in property plant and equipment,-,-1931000,-1765000,-2316000
Acquisitions net,-,-220000,-42000,-
Purchases of investments,-,-4006000,0,-7000
Sales/Maturities of investments,-,3000000,-,283000
Other investing activites,-,-48000,-797000,-45000
Net cash used for investing activites,-,-3197000,-2604000,-2083000
Net change in cash,-,-4728000,1444000,-317000
Cash at beginning of period,-,14420000,12976000,13293000
Cash at end of period,-,9691000,14420000,12976000
Operating Cash Flow,-,-758000,4822000,2784000
Capital Expenditure,-,-1931000,-1765000,-2316000
Free Cash Flow,-,-2689000,3057000,468000
