Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2528000,2645000,2760000,2688000
Depreciation & amortization,-,374000,325000,385000
Change in working capital,-,-132000,1742000,-4653000
Other working capital,-,557000,3640000,-2486000
Other non-cash items,-,-394000,-60000,183000
Net cash provided by operating activites,-,2008000,5002000,-1732000
Investments in property plant and equipment,-,-1451000,-1362000,-754000
Purchases of investments,-,-634000,-6000,-216000
Sales/Maturities of investments,-,941000,0,-
Other investing activites,-,336000,-128000,-68000
Net cash used for investing activites,-,-808000,-1457000,-984000
Net change in cash,-,-391000,5544000,-3289000
Cash at beginning of period,-,13128000,7584000,10873000
Cash at end of period,-,12736000,13128000,7584000
Operating Cash Flow,-,2008000,5002000,-1732000
Capital Expenditure,-,-1451000,-1362000,-754000
Free Cash Flow,-,557000,3640000,-2486000
