Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,16115000,18828000,20723000,17035000
Depreciation & amortization,-,2115000,1998000,1947000
Change in working capital,-,-25002000,5927000,-23836000
Other working capital,-,-2247000,26096000,-5792000
Other non-cash items,-,187000,347000,366000
Net cash provided by operating activites,-,-1021000,28279000,-3882000
Investments in property plant and equipment,-,-1226000,-2183000,-1910000
Acquisitions net,-,-295000,-183000,-
Purchases of investments,-,-6915000,-1921000,-1000
Sales/Maturities of investments,-,490000,651000,88000
Other investing activites,-,1137000,-995000,-249000
Net cash used for investing activites,-,-6400000,-4241000,-1648000
Net change in cash,-,-4695000,11315000,2058000
Cash at beginning of period,-,71125000,59809000,57730000
Cash at end of period,-,66430000,71125000,59809000
Operating Cash Flow,-,-1021000,28279000,-3882000
Capital Expenditure,-,-1226000,-2183000,-1910000
Free Cash Flow,-,-2247000,26096000,-5792000
