Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Total Revenue,34126,34126,31626,27785
Interest Expense,11156,11156,7752,5250
Income Before Tax,-19377,-19377,6956,5688
Income Tax Expense,-5292,-5292,1278,2972
Income from Continuing Operations,-14084,-14084,5678,2715
Net Income,-14084,-14084,5678,2715
Net Income available to common shareholders,-14084,-14084,5678,2715
Basic EPS,-,-,0.44,0.21
Diluted EPS,-,-,0.44,0.21
Basic Average Shares,-,-,13027,13027
Diluted Average Shares,-,-,13027,13027
