Breakdown,ttm,3/31/2019
Net Income,5471000,52277000
Depreciation & amortization,-,3237000
Stock based compensation,-,50000
Change in working capital,-,-27914000
Other working capital,-,-25252000
Other non-cash items,-,-81626000
Net cash provided by operating activites,-,-21517000
Investments in property plant and equipment,-,-3735000
Purchases of investments,-,-202679000
Sales/Maturities of investments,-,215923000
Other investing activites,-,-2000
Net cash used for investing activites,-,9643000
Net change in cash,-,-16739000
Cash at beginning of period,-,127877000
Cash at end of period,-,259700000
Operating Cash Flow,-,-21517000
Capital Expenditure,-,-3735000
Free Cash Flow,-,-25252000
