Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,232580,407238,413306,315679
Depreciation & amortization,-,845504,809070,872264
Change in working capital,-,-133104,447158,277273
Inventory,-,-275863,303470,336316
Other working capital,-,-238674,1447068,4130
Other non-cash items,-,39360,38705,13137
Net cash provided by operating activites,-,1026224,1740506,1358440
Investments in property plant and equipment,-,-1264898,-293438,-1354310
Purchases of investments,-,-18520,-37809,-17910
Sales/Maturities of investments,-,4262,639,391
Other investing activites,-,-,-1,-
Net cash used for investing activites,-,-1219254,-327547,-1370056
Net change in cash,-,-339970,703404,173037
Cash at beginning of period,-,2026444,1323040,1150002
Cash at end of period,-,1686474,2026444,1323040
Operating Cash Flow,-,1026224,1740506,1358440
Capital Expenditure,-,-1264898,-293438,-1354310
Free Cash Flow,-,-238674,1447068,4130
