Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1092411,761897,739549,640124
Liabilities,,,,
Total Liabilities,881107,558568,537699,444756
Stockholders' Equity,,,,
Common Stock,175379,174067,167886,167886
Retained Earnings,35234,28405,27025,19959
Accumulated other comprehensive income,691,857,-693,699
Total stockholders' equity,211304,203329,196024,190350
Total liabilities and stockholders' equity,1092411,761897,739549,640124
