Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,3273092,3383092,3200118,2903630
Depreciation & amortization,-,863099,881559,825952
Change in working capital,-,13710,264258,-520276
Inventory,-,-309093,-443328,-494334
Other working capital,-,2922229,3134096,2307459
Other non-cash items,-,-27069,-53174,-75682
Net cash provided by operating activites,-,4351615,4172816,3238141
Investments in property plant and equipment,-,-1429386,-1038720,-930682
Purchases of investments,-,-565,-531,-14732
Sales/Maturities of investments,-,130164,-,113740
Other investing activites,-,24601,32867,26009
Net cash used for investing activites,-,-1248973,-991063,-787212
Net change in cash,-,2481947,6571,1439878
Cash at beginning of period,-,17835449,17828878,16388999
Cash at end of period,-,20317397,17835449,17828878
Operating Cash Flow,-,4351615,4172816,3238141
Capital Expenditure,-,-1429386,-1038720,-930682
Free Cash Flow,-,2922229,3134096,2307459
