Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,95872000,11446000,20707000,11341000
Depreciation & amortization,-,104779000,104106000,105690000
Change in working capital,-,-28048000,-13602000,2923000
Inventory,-,5343000,-7546000,3028000
Other working capital,-,81635000,164794000,96003000
Other non-cash items,-,18561000,57898000,8833000
Net cash provided by operating activites,-,81635000,164794000,96003000
Other investing activites,-,-168334000,-196052000,-160169000
Net cash used for investing activites,-,-168744000,-188549000,-147779000
Net change in cash,-,10266000,-19197000,6748000
Cash at beginning of period,-,81025000,100223000,93475000
Cash at end of period,-,91399000,81025000,100223000
Operating Cash Flow,-,81635000,164794000,96003000
Free Cash Flow,-,81635000,164794000,96003000
