Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,7454000,10470000,11532000,9706000
Depreciation & amortization,-,21263000,19739000,21289000
Change in working capital,-,-1083000,-6213000,-187000
Inventory,-,1322000,-4555000,-775000
Other working capital,-,10189000,-395000,17520000
Other non-cash items,-,660000,1497000,1610000
Net cash provided by operating activites,-,33543000,24448000,32174000
Investments in property plant and equipment,-,-23354000,-24843000,-14654000
Purchases of investments,-,-84000,-116000,-225000
Sales/Maturities of investments,-,15000,1403000,139000
Other investing activites,-,-2242000,-3287000,-15000
Net cash used for investing activites,-,-25620000,-26809000,-14601000
Net change in cash,-,654000,-532000,1801000
Cash at beginning of period,-,17657000,18189000,14604000
Cash at end of period,-,18141000,17657000,18189000
Operating Cash Flow,-,33543000,24448000,32174000
Capital Expenditure,-,-23354000,-24843000,-14654000
Free Cash Flow,-,10189000,-395000,17520000
