Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-291800,-291800,-161800,-32700,-49200
Acquisitions net,-4600,-4600,-487900,-2500,-4800
Purchases of investments,-123400,-123400,-53100,-79300,-141000
Sales/Maturities of investments,201200,201200,60300,81300,95400
Other investing activites,-200,-200,-121000,-,-
Net cash used for investing activites,-188900,-188900,-216100,-25500,-98900
Debt repayment,-513000,-513000,-1868000,-608500,-318000
Common stock repurchased,-,-,385200,-,-72100
Dividends Paid,-138600,-138600,-150000,-137500,-141500
Other financing activites,-300,-300,-,-,-
Net cash used privided by (used for) financing activities,-248800,-248800,-102100,-379900,-145700
Net change in cash,-27100,-27100,-65100,-109600,69800
Cash at beginning of period,104600,104600,172500,366800,290700
Cash at end of period,78100,78100,104600,172500,366800
Capital Expenditure,-291800,-291800,-161800,-32700,-49200
Free Cash Flow,118800,118800,91300,263100,265200
