Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,10966,9112,8800,6158
Liabilities,,,,
Total Liabilities,13260,9113,10798,5316
Stockholders' Equity,,,,
Common Stock,16302,17528,7211,6097
Retained Earnings,-20077,-19074,-10367,-5274
Accumulated other comprehensive income,1482,1545,1157,18.667
Total stockholders' equity,-2294,-0.778,-1999,842.066
Total liabilities and stockholders' equity,10966,9112,8800,6158
