Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,280172,559106,293195,155945
Depreciation & amortization,-,293300,98924,47721
Change in working capital,-,-216558,41536,-20823
Inventory,-,-3702,5296,-4171
Other working capital,-,440585,350398,29815
Other non-cash items,-,200914,55290,-31881
Net cash provided by operating activites,-,859762,568230,165887
Investments in property plant and equipment,-,-419177,-217832,-136072
Acquisitions net,-,-1264893,-,-
Purchases of investments,-,-70000,-9999,-5000
Sales/Maturities of investments,-,-,0,-
Other investing activites,-,-48872,-12449,64241
Net cash used for investing activites,-,-1802942,-239409,-76831
Net change in cash,-,4029305,1388570,174541
Cash at beginning of period,-,1846580,458009,283468
Cash at end of period,-,5875886,1846580,458009
Operating Cash Flow,-,859762,568230,165887
Capital Expenditure,-,-419177,-217832,-136072
Free Cash Flow,-,440585,350398,29815
