Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Investments in property plant and equipment,-38277,-38277,-3388,-6109,-4889
Acquisitions net,-,-,-,-1322,-3017
Other investing activites,-4059,-4059,-2721,-,-
Net cash used for investing activites,-42336,-42336,-5669,-7428,-7893
Common stock issued,2075,2075,1019,2168,1525
Dividends Paid,-35850,-35850,-33002,-30370,-27958
Other financing activites,-,-,-5,-17,-2363
Net cash used privided by (used for) financing activities,-33775,-33775,-31988,-28219,-28796
Net change in cash,724,724,10939,10795,7052
Cash at beginning of period,104322,104322,93383,82588,75536
Cash at end of period,105046,105046,104322,93383,82588
Capital Expenditure,-38277,-38277,-3388,-6109,-4889
Free Cash Flow,38558,38558,45208,40333,38852
