Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-3283,-2826,-1741
Other investing activites,90.534,110.904,-
Net cash used for investing activites,-3192,-2716,-1741
Common stock issued,-,2500,6650
Common stock repurchased,-501.576,-185.784,-655.453
Net cash used privided by (used for) financing activities,7532,2314,5995
Net change in cash,3384,-1170,3879
Cash at beginning of period,1954,3879,-
Cash at end of period,5338,2709,3879
Capital Expenditure,-3283,-2826,-1741
Free Cash Flow,-4239,-3595,-2116
