Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,13497877,13286460,13797953,13352333
Liabilities,,,,
Total Liabilities,11837175,11695007,12226252,11832125
Stockholders' Equity,,,,
Common Stock,13376,13717,14115,14091
Retained Earnings,1414526,1323870,1228187,1185352
Accumulated other comprehensive income,-23600,-55679,-39725,-45798
Total stockholders' equity,1660702,1591453,1571701,1520208
Total liabilities and stockholders' equity,13497877,13286460,13797953,13352333
