Breakdown,ttm,12/31/2019,12/31/2018
Net Income,1244424,1244424,824374
Depreciation & amortization,1653465,1653465,1427048
Change in working capital,417566,417566,2507674
Other working capital,-2730763,-2730763,-18499854
Other non-cash items,211184,211184,304510
Net cash provided by operating activites,3311943,3311943,4869780
Investments in property plant and equipment,-6042706,-6042706,-23369634
Other investing activites,-16771,-16771,-
Net cash used for investing activites,-6059477,-6059477,-23385234
Net change in cash,-756550,-756550,2382854
Cash at beginning of period,5689431,5689431,4062758
Cash at end of period,4932880,4932880,6445614
Operating Cash Flow,3311943,3311943,4869780
Capital Expenditure,-6042706,-6042706,-23369634
Free Cash Flow,-2730763,-2730763,-18499854
