Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-148.776,-2.725,-,-53.635
Other investing activites,-,-,-,-,-28.894
Net cash used for investing activites,-1029,-148.776,-2.725,-,-30.585
Debt repayment,-,-,-,-44.493,-
Common stock issued,927.132,1545,-,1782,-
Common stock repurchased,-129.23,-171.945,-,-174.954,-
Net cash used privided by (used for) financing activities,797.902,1373,-,1606,168.657
Net change in cash,-1200,433.105,-270.935,1361,-36.077
Cash at beginning of period,1603,1119,1390,29.056,65.133
Cash at end of period,403.362,1552,1119,1390,29.056
Capital Expenditure,-,-148.776,-2.725,-,-53.635
Free Cash Flow,-2136,-940.207,-270.935,-244.757,-227.784
