Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,7985399,8124347,8436767,8434264
Liabilities,,,,
Total Liabilities,7150698,7376929,7683317,7729527
Stockholders' Equity,,,,
Common Stock,4668,4461,12746,12746
Retained Earnings,444124,393662,387829,343678
Accumulated other comprehensive income,13234,-18164,-6133,-10695
Total stockholders' equity,834701,747418,753450,704737
Total liabilities and stockholders' equity,7985399,8124347,8436767,8434264
