Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,283093,283093,272923,255354,226331
Interest Expense,94326,94326,66194,39869,35984
Income Before Tax,116029,116029,112740,97255,85616
Income Tax Expense,28269,28269,26189,43636,30392
Income from Continuing Operations,87760,87760,86551,53619,55224
Net Income,87717,87717,83062,50518,52362
Net Income available to common shareholders,87717,87717,83062,50518,52362
Basic EPS,-,-,1.04,0.68,0.74
Diluted EPS,-,-,1.04,0.68,0.74
Basic Average Shares,-,-,79670,74460,70262
Diluted Average Shares,-,-,79909,74811,70444
