Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-8771,-8904,-8142
Acquisitions net,-,-3254,-7145
Purchases of investments,-,-376,-
Net cash used for investing activites,-8513,-12158,-15253
Debt repayment,-,-4589,-7980
Common stock issued,-,-,20000
Common stock repurchased,-,-,-1996
Other financing activites,-,-1821,-
Net cash used privided by (used for) financing activities,3317,10658,27576
Net change in cash,-812,-1812,3556
Cash at beginning of period,1505,3618,62
Cash at end of period,693,1806,3618
Capital Expenditure,-8771,-8904,-8142
Free Cash Flow,-4387,-9216,-16909
