Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-4410000,-4410000,-5097000,-1776653,-3433554
Depreciation & amortization,60000,60000,51000,74934,142938
Stock based compensation,36000,36000,16000,28932,18696
Change in working capital,-679000,-679000,-130000,513403,-531499
Other working capital,-5073000,-5073000,-5245000,-1834291,-3875172
Other non-cash items,142000,142000,41000,79182,23874
Net cash provided by operating activites,-4970000,-4970000,-5148000,-1762184,-3782678
Investments in property plant and equipment,-103000,-103000,-97000,-72107,-92494
Acquisitions net,-301000,-301000,-165000,-,-
Purchases of investments,-,-,-2391000,-,-
Sales/Maturities of investments,100000,100000,-,-,-
Other investing activites,-7000,-7000,-1000,1718,-10706
Net cash used for investing activites,-211000,-211000,-2654000,1229611,-103200
Net change in cash,6318000,6318000,-7413000,11213727,-1369096
Cash at beginning of period,11627000,11627000,19040000,7826798,9195895
Cash at end of period,17946000,17946000,11627000,19040525,7826798
Operating Cash Flow,-4970000,-4970000,-5148000,-1762184,-3782678
Capital Expenditure,-103000,-103000,-97000,-72107,-92494
Free Cash Flow,-5073000,-5073000,-5245000,-1834291,-3875172
