Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,252189,1049117,902176,2930551
Depreciation & amortization,-,1085436,934277,1219385
Change in working capital,-,361270,-641138,-800532
Inventory,-,-83669,-442565,-363317
Other working capital,-,-576780,1418313,573572
Other non-cash items,-,-14820,231204,-2389179
Net cash provided by operating activites,-,2699779,2335353,1635310
Investments in property plant and equipment,-,-3276559,-917040,-1061738
Purchases of investments,-,-103932,-103788,-412421
Sales/Maturities of investments,-,200000,355626,4167432
Other investing activites,-,-77895,-41020,35939
Net cash used for investing activites,-,-3256749,-697406,2714677
Net change in cash,-,-1397121,2565538,2859336
Cash at beginning of period,-,12280327,9714789,6855452
Cash at end of period,-,10883205,12280327,9714789
Operating Cash Flow,-,2699779,2335353,1635310
Capital Expenditure,-,-3276559,-917040,-1061738
Free Cash Flow,-,-576780,1418313,573572
