Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,115097,115097,96577,87828,82334
Interest Expense,17643,17643,5467,3587,3355
Income Before Tax,33918,33918,31088,28174,25452
Income Tax Expense,8661,8661,7207,13358,8556
Income from Continuing Operations,25257,25257,23881,14816,16896
Net Income,25257,25257,23881,14816,16896
Net Income available to common shareholders,25047,25047,23642,14659,16714
Basic EPS,-,-,5.82,3.64,4.19
Diluted EPS,-,-,5.77,3.61,4.15
Basic Average Shares,-,-,4062,4031,3990
Diluted Average Shares,-,-,4099,4066,4029
