Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,12697000,11237000,13226000,8905000
Total Operating Expenses,8186000,7338000,6658000,5737000
Operating Income or Loss,4511000,3899000,6568000,3168000
Interest Expense,61000,46000,42000,36000
Income Before Tax,4323000,4148000,6297000,3193000
Income Tax Expense,1272000,954000,1607000,840000
Income from Continuing Operations,3051000,3194000,4690000,2353000
Net Income,3052000,3246000,4681000,2346000
Net Income available to common shareholders,3052000,3246000,4681000,2346000
Basic EPS,-,16.12,23.23,11.55
Diluted EPS,-,16.12,23.23,11.55
Basic Average Shares,-,201332,201528,203107
Diluted Average Shares,-,201332,201528,203107
