Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,635857,552128,555345,533492
Depreciation & amortization,-,413349,438188,361383
Change in working capital,-,-220998,-54040,187933
Inventory,-,-76862,-170132,255116
Other working capital,-,521962,709452,-241242
Other non-cash items,-,16599,119800,-130867
Net cash provided by operating activites,-,761331,1203761,1062587
Investments in property plant and equipment,-,-239369,-494309,-1303829
Purchases of investments,-,-641244,-2747,-2580
Sales/Maturities of investments,-,637500,10952,-
Other investing activites,-,3688,-2610,-55
Net cash used for investing activites,-,-239425,-488714,-1306464
Net change in cash,-,74711,89915,190245
Cash at beginning of period,-,1690904,1600988,1410742
Cash at end of period,-,1766022,1690904,1600988
Operating Cash Flow,-,761331,1203761,1062587
Capital Expenditure,-,-239369,-494309,-1303829
Free Cash Flow,-,521962,709452,-241242
