Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,186251,186251,173438,169256,136745
Interest Expense,93165,93165,63237,38912,27137
Income Before Tax,88789,88789,70792,76432,52071
Income Tax Expense,21793,21793,15021,33487,17881
Income from Continuing Operations,66996,66996,55771,42945,34190
Net Income,66996,66996,55771,42945,34190
Net Income available to common shareholders,66996,66996,55771,42945,34190
Basic EPS,-,-,1.08,0.84,0.67
Diluted EPS,-,-,1.06,0.82,0.65
Basic Average Shares,-,-,51498,51154,51129
Diluted Average Shares,-,-,52660,52664,52248
