Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,972464,952154,822329,380638
Depreciation & amortization,-,233847,257091,241418
Change in working capital,-,156173,543472,-165931
Inventory,-,52256,-309368,-163015
Other working capital,-,1134657,1721639,71732
Other non-cash items,-,20704,51597,21288
Net cash provided by operating activites,-,1302200,1881217,369525
Investments in property plant and equipment,-,-167543,-159578,-297793
Purchases of investments,-,-151961,-17182,-4811
Sales/Maturities of investments,-,15596,-,-
Other investing activites,-,-79367,11303,48645
Net cash used for investing activites,-,-383275,165160,-253959
Net change in cash,-,991814,1484278,114171
Cash at beginning of period,-,2169691,685412,571240
Cash at end of period,-,3161506,2169691,685412
Operating Cash Flow,-,1302200,1881217,369525
Capital Expenditure,-,-167543,-159578,-297793
Free Cash Flow,-,1134657,1721639,71732
