Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,2886000,2886000,2873000,2366000,1941000
Interest Expense,259000,259000,163000,86000,85000
Income Before Tax,1319000,1319000,1418000,1064000,838000
Income Tax Expense,364000,364000,366000,450000,286000
Income from Continuing Operations,955000,955000,1052000,614000,552000
Net Income,955000,955000,1052000,614000,552000
Net Income available to common shareholders,915000,915000,1016000,589000,552000
Basic EPS,-,-,3.90,2.16,1.99
Diluted EPS,-,-,3.88,2.15,1.98
Basic Average Shares,-,-,260600,273190,277789
Diluted Average Shares,-,-,261669,274352,279048
