Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,1883854,1839123,1099989,1168569
Depreciation & amortization,-,647361,664169,609897
Change in working capital,-,-128343,467273,-452342
Other working capital,-,2030251,2021434,1197606
Other non-cash items,-,-137466,247051,5155
Net cash provided by operating activites,-,2346858,2434645,1517623
Investments in property plant and equipment,-,-316607,-413211,-320017
Acquisitions net,-,-83844,-229590,-
Purchases of investments,-,-300330,-20854,-146262
Sales/Maturities of investments,-,304510,-,5337
Other investing activites,-,-6815,-94195,-56517
Net cash used for investing activites,-,-240789,-734574,-542977
Net change in cash,-,3599132,671258,-560897
Cash at beginning of period,-,5746832,5075574,5636472
Cash at end of period,-,9345965,5746832,5075574
Operating Cash Flow,-,2346858,2434645,1517623
Capital Expenditure,-,-316607,-413211,-320017
Free Cash Flow,-,2030251,2021434,1197606
