Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,188551,225826,288853,172258
Depreciation & amortization,-,55739,56098,67462
Change in working capital,-,28342,139183,283251
Inventory,-,68966,-70742,228021
Other working capital,-,366447,243187,410104
Other non-cash items,-,5856,11566,-14282
Net cash provided by operating activites,-,393529,256842,415320
Investments in property plant and equipment,-,-27082,-13655,-5216
Purchases of investments,-,-59891,-139610,-290255
Sales/Maturities of investments,-,-,100000,300000
Other investing activites,-,-10769,50242,23935
Net cash used for investing activites,-,-97742,204356,28464
Net change in cash,-,-36443,198608,543593
Cash at beginning of period,-,3010273,2811664,2268071
Cash at end of period,-,2973829,3010273,2811664
Operating Cash Flow,-,393529,256842,415320
Capital Expenditure,-,-27082,-13655,-5216
Free Cash Flow,-,366447,243187,410104
