Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1260,-900.937,-1590,-877.123,-840.224
Net cash used for investing activites,-1260,-900.937,-1590,-877.123,-840.224
Common stock issued,1451,1029,2383,2683,1041
Common stock repurchased,-,-,-8.392,-1.75,-35.172
Other financing activites,-,-,-,-,250
Net cash used privided by (used for) financing activities,1883,1029,2375,2681,1256
Net change in cash,-218.965,-619.929,-376.231,1080,-35.014
Cash at beginning of period,608.596,761.59,1201,247.967,246.227
Cash at end of period,389.631,177.54,761.59,1201,247.967
Capital Expenditure,-1260,-900.937,-1590,-877.123,-840.224
Free Cash Flow,-2102,-1649,-2751,-1601,-1291
