Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,474843,485282,465691,522252
Change in working capital,-,14869,14117,-
Other working capital,-,329182,183859,70524
Other non-cash items,-,1218958,1176554,-
Net cash provided by operating activites,-,1011824,1013014,-
Investments in property plant and equipment,-,-682642,-829155,-777392
Acquisitions net,-,-18335,-,-
Purchases of investments,-,-742353,-400000,-200000
Sales/Maturities of investments,-,440051,400000,100000
Other investing activites,-,-2,-34123,426465
Net cash used for investing activites,-,-803281,-863278,-450927
Net change in cash,-,-22475,-81130,165946
Cash at beginning of period,-,938075,1019206,853260
Cash at end of period,-,915600,938075,1019206
Operating Cash Flow,-,1011824,1013014,-
Capital Expenditure,-,-682642,-829155,-777392
Free Cash Flow,-,329182,183859,70524
