Breakdown,ttm,11/30/2019,4/30/2018
Net Income,2023328,2023328,100751
Depreciation & amortization,24726,24726,4575
Change in working capital,-11915270,-11915270,-48441
Inventory,-10997586,-10997586,-
Other working capital,-10338940,-10338940,21348
Other non-cash items,285647,285647,-86628
Net cash provided by operating activites,-10269725,-10269725,21348
Investments in property plant and equipment,-69215,-69215,-
Sales/Maturities of investments,-,-,48441
Other investing activites,-11,-11,-
Net cash used for investing activites,-69226,-69226,48441
Net change in cash,202987,202987,72703
Cash at beginning of period,4075154,4075154,140977
Cash at end of period,4330517,4330517,213680
Operating Cash Flow,-10269725,-10269725,21348
Capital Expenditure,-69215,-69215,-
Free Cash Flow,-10338940,-10338940,21348
