Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-34818,142663,589763,760639
Depreciation & amortization,-,1033241,530706,449478
Change in working capital,-,-584341,-440707,-911247
Inventory,-,-940519,-915162,-703062
Other working capital,-,899711,1088655,792415
Other non-cash items,-,-28083,564683,533708
Net cash provided by operating activites,-,899711,1088655,792415
Purchases of investments,-,-291587,-,-178642
Sales/Maturities of investments,-,84000,102166,1200000
Other investing activites,-,-916571,-2042670,-1428268
Net cash used for investing activites,-,-1123409,-1939505,-405911
Net change in cash,-,26451,11286,516516
Cash at beginning of period,-,1503411,1492124,975607
Cash at end of period,-,1529863,1503411,1492124
Operating Cash Flow,-,899711,1088655,792415
Free Cash Flow,-,899711,1088655,792415
