Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,42155283,40661468,40384573
Liabilities,,,
Total Liabilities,30880243,29209348,28837804
Stockholders' Equity,,,
Common Stock,3869071,3923735,3923735
Retained Earnings,238732,400018,891184
Total stockholders' equity,9950899,10169852,10582116
Total liabilities and stockholders' equity,42155283,40661468,40384573
