Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2048000,1749000,1579000,1991000
Depreciation & amortization,-,2815000,2864000,2791000
Change in working capital,-,31000,158000,-513000
Inventory,-,19000,-162000,198000
Other working capital,-,1163000,2846000,781000
Other non-cash items,-,-117000,201000,-117000
Net cash provided by operating activites,-,4299000,5177000,4048000
Investments in property plant and equipment,-,-3136000,-2331000,-3267000
Acquisitions net,-,-24000,-,-
Purchases of investments,-,-3640000,-1940000,-
Sales/Maturities of investments,-,4145000,1545000,-
Other investing activites,-,-283000,-552000,-141000
Net cash used for investing activites,-,-2926000,-2954000,-3124000
Net change in cash,-,597000,1186000,-272000
Cash at beginning of period,-,5615000,4429000,4702000
Cash at end of period,-,6212000,5615000,4429000
Operating Cash Flow,-,4299000,5177000,4048000
Capital Expenditure,-,-3136000,-2331000,-3267000
Free Cash Flow,-,1163000,2846000,781000
