Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,627993,677815,666666,595654
Depreciation & amortization,-,88434,85489,79410
Change in working capital,-,-98436,-391639,-488321
Inventory,-,-95654,-126673,-267171
Other working capital,796263,612646,254732,-26200
Other non-cash items,-,-20672,1548,-26753
Net cash provided by operating activites,1187331,985236,679807,410005
Investments in property plant and equipment,-391068,-372590,-425075,-436205
Acquisitions net,-,-,0,-22200
Purchases of investments,-616493,-705879,-418685,-1225976
Sales/Maturities of investments,200230,152800,222000,1134261
Other investing activites,-6541,15507,-1922,-23556
Net cash used for investing activites,-780840,-880473,-602322,-440646
Net change in cash,-13011,-206232,-191283,680817
Cash at beginning of period,1793176,2023561,2332110,1548130
Cash at end of period,1780165,1904036,2023561,2332110
Operating Cash Flow,1187331,985236,679807,410005
Capital Expenditure,-391068,-372590,-425075,-436205
Free Cash Flow,796263,612646,254732,-26200
