Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,61267,61267,57271,54222,53359
Interest Expense,15959,15959,10936,5897,5567
Income Before Tax,18824,18824,17529,17232,17072
Income Tax Expense,3138,3138,2819,7459,4597
Income from Continuing Operations,15686,15686,14710,9773,12475
Net Income,15672,15672,14704,9773,12475
Net Income available to common shareholders,15672,15672,14704,9773,12475
Basic EPS,-,-,2.09,1.39,1.76
Diluted EPS,-,-,2.09,1.39,1.76
Basic Average Shares,-,-,7035,7058,7103
Diluted Average Shares,-,-,7035,7058,7103
