Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,6371928,3884163,3393133,2718512
Liabilities,,,,
Total Liabilities,5718200,3462926,3025659,2512224
Stockholders' Equity,,,,
Common Stock,348286,176638,176472,61642
Retained Earnings,304984,244909,192008,145274
Accumulated other comprehensive income,458,-310,-1006,-628
Total stockholders' equity,653728,421237,367474,206288
Total liabilities and stockholders' equity,6371928,3884163,3393133,2718512
