Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-146955,12987,103813,141773
Depreciation & amortization,-,942199,932747,966722
Change in working capital,-,-87913,-137111,-108354
Inventory,-,89953,-8080,6370
Other working capital,-,572585,553917,567118
Other non-cash items,-,104267,95032,93055
Net cash provided by operating activites,-,1019215,1017901,1095283
Investments in property plant and equipment,-,-446630,-463984,-528165
Sales/Maturities of investments,-,-,64000,10628
Other investing activites,-,78931,51787,-22744
Net cash used for investing activites,-,-320105,-327404,-469672
Net change in cash,-,67783,-465363,72749
Cash at beginning of period,-,1366044,1831407,1758658
Cash at end of period,-,1433827,1366044,1831407
Operating Cash Flow,-,1019215,1017901,1095283
Capital Expenditure,-,-446630,-463984,-528165
Free Cash Flow,-,572585,553917,567118
