Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1590,-1681,-842.251,-1337,-805.247
Sales/Maturities of investments,-,-,-,415.856,-
Net cash used for investing activites,-1590,-1681,-842.251,-921.056,-805.247
Common stock issued,-,-,8544,561.639,2440
Common stock repurchased,-,-,-556.803,-4.62,-207.474
Net cash used privided by (used for) financing activities,-,-,7987,557.019,2233
Net change in cash,-3797,-3297,5274,-1254,480.631
Cash at beginning of period,4693,5336,62.015,1316,835
Cash at end of period,895.575,2039,5336,62.015,1316
Capital Expenditure,-1590,-1681,-842.251,-1337,-805.247
Free Cash Flow,-3806,-3297,-2713,-2226,-1752
