Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-12730,-15691,-11155,-10107,-5958
Acquisitions net,-,-35070,-646,-16986,-
Sales/Maturities of investments,-,-,-,-,323
Other investing activites,-,-,-,-,-150
Net cash used for investing activites,-12230,-50761,-11801,-27093,-5603
Debt repayment,-25600,-1250,-2500,-2500,-11600
Common stock issued,50549,904,1221,22560,16508
Dividends Paid,-4480,-4505,-6417,-5099,-4511
Other financing activites,-1330,-56,-,-2500,-16
Net cash used privided by (used for) financing activities,20364,41253,-5696,14961,381
Net change in cash,27848,-3987,-33793,1245,46602
Cash at beginning of period,10487,598,52358,52889,6287
Cash at end of period,38335,15481,18870,52358,52889
Capital Expenditure,-12730,-15691,-11155,-10107,-5958
Free Cash Flow,6984,-10170,-27451,3270,45866
