Breakdown,7/31/2019,7/31/2018,7/31/2017,7/31/2016
Total Assets,224247,225630,182913,133099
Liabilities,,,,
Total Liabilities,20897,20750,15163,5397
Stockholders' Equity,,,,
Common Stock,5903,5833,5426,5712
Total stockholders' equity,203350,204880,167750,127702
Total liabilities and stockholders' equity,224247,225630,182913,133099
