Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,424590,581608,415038,802457
Depreciation & amortization,-,241816,241108,228389
Change in working capital,-,-591,-427763,-100548
Inventory,-,-312916,-309820,-210503
Other working capital,-,661849,-227123,871632
Other non-cash items,-,97458,-114905,41916
Net cash provided by operating activites,-,868460,-103580,1114485
Investments in property plant and equipment,-,-206611,-123543,-242853
Purchases of investments,-,-728252,-747633,-
Sales/Maturities of investments,-,740299,960983,24932
Other investing activites,-,-34519,-26640,-30448
Net cash used for investing activites,-,-226494,65334,-247296
Net change in cash,-,550296,-148910,750032
Cash at beginning of period,-,2269219,2418130,1668097
Cash at end of period,-,2819516,2269219,2418130
Operating Cash Flow,-,868460,-103580,1114485
Capital Expenditure,-,-206611,-123543,-242853
Free Cash Flow,-,661849,-227123,871632
