Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-394190,-666303,-458594,199466
Depreciation & amortization,-,307719,343634,383974
Stock based compensation,-,-,11008,18014
Change in working capital,-,-83069,-181873,317820
Inventory,-,-4743,29307,16940
Other working capital,-,-41661,-229918,786056
Other non-cash items,-,9767,17867,30634
Net cash provided by operating activites,-,244353,-7354,1052280
Investments in property plant and equipment,-,-286014,-222564,-266224
Acquisitions net,-,-50632,-,-
Other investing activites,-,-107595,-39055,-45957
Net cash used for investing activites,-,-512693,-263437,-299407
Net change in cash,-,-548811,-105390,881054
Cash at beginning of period,-,1512137,1617528,736474
Cash at end of period,-,963326,1512137,1617528
Operating Cash Flow,-,244353,-7354,1052280
Capital Expenditure,-,-286014,-222564,-266224
Free Cash Flow,-,-41661,-229918,786056
