Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,49461,49461,52769,29884,21811
Interest Expense,8600,8600,7965,4120,2172
Income Before Tax,4987,4987,13229,-1410,4029
Income Tax Expense,701,701,2371,3501,962
Income from Continuing Operations,4286,4286,10858,-4911,3067
Net Income,4286,4286,10858,-4911,3067
Net Income available to common shareholders,4286,4286,10858,-4807,3067
Basic EPS,-,-,1.19,-0.91,0.95
Diluted EPS,-,-,1.19,-0.91,0.95
Basic Average Shares,-,-,9096,5261,3219
Diluted Average Shares,-,-,9148,5261,3242
