Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4.684,-9.317,-6.887,-0.454,-607.215
Acquisitions net,-,-,0.007,-,-
Purchases of investments,-,-189.874,-191.498,-2.786,-
Sales/Maturities of investments,-,11.147,-,-,-
Other investing activites,-,-,-,-,104.804
Net cash used for investing activites,245.316,61.956,-198.378,-3.24,-502.411
Common stock issued,-,-,2376,1613,1770
Common stock repurchased,-,-,-,-7.487,-49.812
Net cash used privided by (used for) financing activities,-,-,2376,1605,1720
Net change in cash,216.661,-1420,423.171,542.422,747.195
Cash at beginning of period,1347,2450,2005,1473,726.277
Cash at end of period,1563,1063,2450,2005,1473
Capital Expenditure,-4.684,-9.317,-6.887,-0.454,-607.215
Free Cash Flow,-1675,-1491,-1761,-1060,-1077
