Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,621912,474756,833779,1044405
Depreciation & amortization,-,705723,697464,664002
Change in working capital,-,-398845,128346,-223331
Inventory,-,-249536,-216150,110318
Other working capital,-,-76849,1168031,951681
Other non-cash items,-,2688,27526,26573
Net cash provided by operating activites,-,730687,1432422,1759979
Investments in property plant and equipment,-,-807536,-264391,-808298
Purchases of investments,-,-1041933,-32223,-
Sales/Maturities of investments,-,1348544,-,100000
Other investing activites,-,10092,-506662,-191086
Net cash used for investing activites,-,-490833,-803276,-899384
Net change in cash,-,929487,-1865,917334
Cash at beginning of period,-,1486994,1488860,571525
Cash at end of period,-,2416482,1486994,1488860
Operating Cash Flow,-,730687,1432422,1759979
Capital Expenditure,-,-807536,-264391,-808298
Free Cash Flow,-,-76849,1168031,951681
