Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-749.9629,-749.9629
Net cash used for investing activites,-749.9629,-749.9629
Net change in cash,-4934,-4934
Cash at beginning of period,7460,7460
Cash at end of period,2545,2545
Capital Expenditure,-749.9629,-749.9629
Free Cash Flow,-4934,-4934
