Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2364000,3129000,3448000,3404000
Depreciation & amortization,6002000,4538000,4108000,3601000
Change in working capital,-4039000,-1727000,-3315000,2231000
Inventory,-721000,-597000,-827000,-168000
Other working capital,-149000,-921000,-356000,2251000
Other non-cash items,1866000,1300000,967000,-1665000
Net cash provided by operating activites,5939000,7156000,5771000,7421000
Investments in property plant and equipment,-6088000,-8077000,-6127000,-5170000
Acquisitions net,-,-,-,-258000
Purchases of investments,-3572000,-3570000,-4000,-7000
Sales/Maturities of investments,769000,893000,439000,242000
Other investing activites,199000,-7000,-17000,-42000
Net cash used for investing activites,-8234000,-10706000,-5587000,-5505000
Net change in cash,2868000,6154000,-1148000,-1030000
Cash at beginning of period,5179000,5117000,6266000,7137000
Cash at end of period,8554000,11271000,5117000,6266000
Operating Cash Flow,5939000,7156000,5771000,7421000
Capital Expenditure,-6088000,-8077000,-6127000,-5170000
Free Cash Flow,-149000,-921000,-356000,2251000
