Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4.659,-12.461,-65.954,-181.324,-55.998
Acquisitions net,-,-1572,-4073,-,-
Purchases of investments,-118.068,-1394,-2599,-,-20
Other investing activites,-,-1829,-,-,-
Net cash used for investing activites,-2147,-4807,-6738,-181.324,-75.998
Common stock issued,1400,11400,6051,13121,16697
Common stock repurchased,-229.161,-702.795,-270.848,-8.287,-355.533
Other financing activites,-,-,-,-,-0.001
Net cash used privided by (used for) financing activities,1126,10697,5780,13113,16342
Net change in cash,-5783,305.077,-6030,353.321,4392
Cash at beginning of period,6217,1524,7555,7208,2817
Cash at end of period,433.978,1830,1524,7555,7208
Capital Expenditure,-4.659,-12.461,-65.954,-181.324,-55.998
Free Cash Flow,-4767,-5598,-5138,-12759,-11930
