Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,14978000,8862000,23862000,26277000
Depreciation & amortization,-,1794000,1799000,1198000
Change in working capital,-,-6229000,14709000,-30953000
Inventory,-,-1097000,1471000,168000
Other working capital,-,4146000,35991000,-4193000
Other non-cash items,-,7809000,-427000,2006000
Net cash provided by operating activites,-,5900000,38127000,-1802000
Investments in property plant and equipment,-,-1754000,-2136000,-2391000
Purchases of investments,-,-12325000,-1829000,-6123000
Sales/Maturities of investments,-,11566000,1481000,15241000
Other investing activites,-,-43000,-406000,-1282000
Net cash used for investing activites,-,-2356000,-2260000,6316000
Net change in cash,-,-4132000,31851000,682000
Cash at beginning of period,-,139190000,107667000,106935000
Cash at end of period,-,135093000,139190000,107667000
Operating Cash Flow,-,5900000,38127000,-1802000
Capital Expenditure,-,-1754000,-2136000,-2391000
Free Cash Flow,-,4146000,35991000,-4193000
