Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-549.049,-438.127
Other investing activites,-,-1.154
Net cash used for investing activites,-549.799,-439.281
Common stock issued,1100,126.875
Common stock repurchased,-58.425,-25
Net cash used privided by (used for) financing activities,1042,101.875
Net change in cash,-372.161,-698.913
Cash at beginning of period,3526,4048
Cash at end of period,3154,3349
Capital Expenditure,-549.049,-438.127
Free Cash Flow,-1413,-799.634
