Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-120694,76524,597124,586135
Depreciation & amortization,-,633456,628857,649665
Change in working capital,-,3342,-75074,155308
Inventory,-,-15940,-28332,63396
Other working capital,-,43577,326810,707830
Other non-cash items,-,-37262,-22809,-40792
Net cash provided by operating activites,-,1111757,1328160,1400420
Investments in property plant and equipment,-,-1068180,-1001350,-692590
Purchases of investments,-,-2,-2,-2
Sales/Maturities of investments,-,-,296833,278108
Other investing activites,-,-4872,78678,25279
Net cash used for investing activites,-,-1158121,-681902,-387892
Net change in cash,-,1036852,-146932,-25343
Cash at beginning of period,-,3796620,3943553,3968896
Cash at end of period,-,4833473,3796620,3943553
Operating Cash Flow,-,1111757,1328160,1400420
Capital Expenditure,-,-1068180,-1001350,-692590
Free Cash Flow,-,43577,326810,707830
