Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1883,-1883,-1815,-18815,-17810
Acquisitions net,-10824,-10824,-21821,-,-
Purchases of investments,-34523,-34523,-851,-4254,-8845
Sales/Maturities of investments,16438,16438,1083,-,-
Other investing activites,-,-,-,-,-953
Net cash used for investing activites,-30792,-30792,-23404,-23069,-27608
Debt repayment,-1163,-1163,-4423,-16164,-39551
Common stock issued,-,-,55002,300,43000
Common stock repurchased,-,-,-1650,-,-2779
Dividends Paid,-19090,-19090,-15940,-10148,-7636
Other financing activites,-,-,-,-,-3666
Net cash used privided by (used for) financing activities,-16706,-16706,47341,10433,20495
Net change in cash,-28148,-28148,79737,-5190,29352
Cash at beginning of period,160972,160972,80124,87252,57900
Cash at end of period,132955,132955,160972,80124,87252
Capital Expenditure,-1883,-1883,-1815,-18815,-17810
Free Cash Flow,17467,17467,53985,-11369,18655
