Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,208436,200662,176677
Liabilities,,,
Total Liabilities,157623,151819,152523
Stockholders' Equity,,,
Common Stock,36,36,1472
Retained Earnings,21363,20672,19326
Accumulated other comprehensive income,1281,-166,-47
Total stockholders' equity,50813,48843,24154
Total liabilities and stockholders' equity,208436,200662,176677
