Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,136828400,132212500,138590500,123926900
Liabilities,,,,
Total Liabilities,125737400,121704200,128374300,114156500
Stockholders' Equity,,,,
Common Stock,11091000,1290600,1290600,1290600
Retained Earnings,11656700,10776800,9685100,8908400
Accumulated other comprehensive income,-194700,-453700,-414300,-370000
Total stockholders' equity,11091000,10508300,10216200,9770400
Total liabilities and stockholders' equity,136828400,132212500,138590500,123926900
