Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6504000,6427000,6070000,5784000
Depreciation & amortization,4412000,4346000,4227000,4064000
Change in working capital,-603000,-358000,1079000,-62000
Inventory,-212000,165000,-193000,-128000
Other working capital,3274000,3801000,6223000,2239000
Other non-cash items,255000,349000,342000,381000
Net cash provided by operating activites,10645000,10803000,12296000,10083000
Investments in property plant and equipment,-7371000,-7002000,-6073000,-7844000
Acquisitions net,-,-,-15000,-
Sales/Maturities of investments,-,-,0,5000
Other investing activites,93000,-154000,292000,153000
Net cash used for investing activites,-7020000,-7103000,-5646000,-7178000
Net change in cash,-2193000,-1267000,1770000,-943000
Cash at beginning of period,16888000,12135000,10364000,11308000
Cash at end of period,14694000,10868000,12135000,10364000
Operating Cash Flow,10645000,10803000,12296000,10083000
Capital Expenditure,-7371000,-7002000,-6073000,-7844000
Free Cash Flow,3274000,3801000,6223000,2239000
