Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Total Revenue,7787720,7787720,3725482,175367
Interest Expense,41707,41707,-,-
Income Before Tax,2967287,2967287,1659671,-228597
Income Tax Expense,465983,465983,466360,-62232
Income from Continuing Operations,2501304,2501304,1193311,-166365
Net Income,2501595,2501595,1193311,-166365
Net Income available to common shareholders,2501595,2501595,-1904422,-166365
Basic EPS,-,-,-18.78,-1.16
Diluted EPS,-,-,-18.78,-1.16
Basic Average Shares,-,-,101376,143826
Diluted Average Shares,-,-,101376,143826
